trip_id;pickup_datetime
1201656426;2015-07-01 00:19:22
1202989735;2015-07-01 00:19:31
1201227098;2015-07-01 00:19:34
1203790837;2015-07-01 00:19:36
1200481853;2015-07-01 00:19:37
1202481434;2015-07-01 00:19:40
1200538100;2015-07-01 00:19:42
1201113727;2015-07-01 00:19:45
1202233106;2015-07-01 00:19:52
1202289115;2015-07-01 00:19:56
1203102906;2015-07-01 00:19:58
1202007183;2015-07-01 00:20:03
1200414008;2015-07-01 00:20:03
1201656420;2015-07-01 00:20:04
1200448015;2015-07-01 00:20:13
1201283900;2015-07-01 00:20:14
1202187987;2015-07-01 00:20:17
1202605621;2015-07-01 00:20:17
1202944235;2015-07-01 00:20:17
1201238442;2015-07-01 00:20:20
1200571771;2015-07-01 00:20:25
1200267156;2015-07-01 00:20:27
1201656421;2015-07-01 00:20:29
1203644614;2015-07-01 00:20:30
1201362114;2015-07-01 00:20:37
1203587951;2015-07-01 00:20:44
1201916771;2015-07-01 00:20:44
1202628308;2015-07-01 00:20:51
1203756936;2015-07-01 00:20:53
1200459355;2015-07-01 00:20:56
1201543226;2015-07-01 00:21:00
1202221940;2015-07-01 00:21:05
1201758298;2015-07-01 00:21:05
1202526717;2015-07-01 00:21:07
1202086356;2015-07-01 00:21:07
1200267160;2015-07-01 00:21:10
1202628309;2015-07-01 00:21:12
1203316726;2015-07-01 00:21:15
1202504006;2015-07-01 00:21:27
1202763255;2015-07-01 00:21:28
1202154268;2015-07-01 00:21:28
1201373413;2015-07-01 00:21:29
1201023464;2015-07-01 00:21:30
1202097749;2015-07-01 00:21:33
1200493326;2015-07-01 00:21:35
1203057566;2015-07-01 00:21:44
1200571773;2015-07-01 00:21:45
1200052533;2015-07-01 00:21:45
1201792375;2015-07-01 00:21:50
1203576659;2015-07-01 00:21:52
1201475282;2015-07-01 00:22:02
1200380153;2015-07-01 00:22:08
1201667746;2015-07-01 00:22:17
1203362272;2015-07-01 00:22:20
1202989734;2015-07-01 00:22:28
1201543228;2015-07-01 00:22:33
1202729402;2015-07-01 00:22:34
1202876500;2015-07-01 00:22:35
1200312373;2015-07-01 00:22:47
1201600008;2015-07-01 00:22:49
1200639421;2015-07-01 00:22:51
1200944067;2015-07-01 00:22:52
1200187687;2015-07-01 00:22:59
1202131823;2015-07-01 00:22:59
1200335017;2015-07-01 00:23:01
1203034852;2015-07-01 00:23:02
1202661870;2015-07-01 00:23:04
1200199091;2015-07-01 00:23:07
1201645115;2015-07-01 00:23:08
1201577197;2015-07-01 00:23:09
1202966940;2015-07-01 00:23:17
1200921260;2015-07-01 00:23:23
1201418720;2015-07-01 00:23:24
1200267164;2015-07-01 00:23:26
1202233109;2015-07-01 00:23:27
1202763260;2015-07-01 00:23:29
1200369016;2015-07-01 00:23:41
1201238449;2015-07-01 00:23:47
1203847212;2015-07-01 00:23:49
1203790838;2015-07-01 00:23:50
1200989511;2015-07-01 00:23:51
1200616495;2015-07-01 00:23:54
1203700735;2015-07-01 00:23:55
1201826115;2015-07-01 00:23:57
1200097742;2015-07-01 00:23:58
1201600003;2015-07-01 00:23:58
1201238444;2015-07-01 00:24:08
1201407468;2015-07-01 00:24:10
1202063906;2015-07-01 00:24:17
1200244517;2015-07-01 00:24:21
1201973572;2015-07-01 00:24:22
1200120315;2015-07-01 00:24:31
1200538104;2015-07-01 00:24:43
1203509014;2015-07-01 00:24:51
1202786012;2015-07-01 00:24:53
1201430071;2015-07-01 00:25:13
1201463921;2015-07-01 00:25:26
1200932695;2015-07-01 00:25:27
1201102510;2015-07-01 00:25:42
